HousingSt_Var,date,MDT_HS,Unemp_Var,MDT_UMP,PPI_Var,MDT_PPI,HPI_Var,MDT_HPI,Payrolls,MDT_TNF
1600,01/01/2005,-19.00000,5.3,0.00000,140,1.20000,109.851,0.83500,132791,123.00000
1625,02/01/2005,68.00000,5.4,-0.10000,137.4,3.80000,110.504,0.71600,133050,147.00000
1590,03/01/2005,25.00000,5.2,0.10000,135.9,-2.60000,111.111,0.65300,133172,259.00000
1649,04/01/2005,-35.00000,5.2,-0.20000,136.4,-1.50000,111.653,0.60700,133536,122.00000
1605,05/01/2005,59.00000,5.1,0.00000,136.8,0.50000,112.165,0.54200,133706,364.00000
1636,06/01/2005,-44.00000,5,-0.10000,135.5,0.40000,112.797,0.51200,133957,170.00000
1670,07/01/2005,31.00000,5,-0.10000,133.4,-1.30000,113.494,0.63200,134314,251.00000
1567,08/01/2005,34.00000,4.9,0.00000,133.4,-2.10000,114.17,0.69700,134517,357.00000
1562,09/01/2005,-103.00000,5,-0.10000,133.3,0.00000,114.813,0.67600,134583,203.00000
1540,10/01/2005,-5.00000,5,0.10000,130.3,-0.10000,115.31,0.64300,134673,66.00000
1602,11/01/2005,-22.00000,5,0.00000,129.8,-3.00000,115.856,0.49700,135012,90.00000
1568,12/01/2005,62.00000,4.9,0.00000,128.1,-0.50000,116.45,0.54600,135168,339.00000
1698,01/01/2006,-34.00000,4.7,-0.10000,128.5,-1.70000,117.146,0.59400,135446,156.00000
1829,02/01/2006,130.00000,4.8,-0.20000,128.4,0.40000,117.847,0.69600,135753,278.00000
1642,03/01/2006,131.00000,4.7,0.10000,129.8,-0.10000,118.69,0.70100,136063,307.00000
1592,04/01/2006,-187.00000,4.7,-0.10000,130.8,1.40000,119.615,0.84300,136221,310.00000
1764,05/01/2006,-50.00000,4.6,0.00000,130.8,1.00000,120.727,0.92500,136261,158.00000
1717,06/01/2006,172.00000,4.6,-0.10000,130.9,0.00000,121.814,1.11200,136342,40.00000
1655,07/01/2006,-47.00000,4.7,0.00000,131.2,0.10000,122.889,1.08700,136538,81.00000
1633,08/01/2006,-62.00000,4.7,0.10000,131.5,0.30000,123.831,1.07500,136713,196.00000
1804,09/01/2006,-22.00000,4.5,0.00000,132.3,0.30000,124.779,0.94200,136860,175.00000
1648,10/01/2006,171.00000,4.4,-0.20000,133.2,0.80000,125.734,0.94800,136870,147.00000
1753,11/01/2006,-156.00000,4.5,-0.10000,133.1,0.90000,126.667,0.95500,137082,10.00000
1788,12/01/2006,105.00000,4.4,0.10000,132.9,-0.10000,127.618,0.93300,137268,212.00000
1853,01/01/2007,35.00000,4.6,-0.10000,135.3,-0.20000,128.462,0.95100,137493,186.00000
1629,02/01/2007,65.00000,4.5,0.20000,137.6,2.40000,129.357,0.84400,137573,225.00000
1726,03/01/2007,-224.00000,4.4,-0.10000,141.2,2.30000,130.151,0.89500,137810,80.00000
1643,04/01/2007,97.00000,4.5,-0.10000,136.8,3.60000,130.887,0.79400,137860,237.00000
1751,05/01/2007,-83.00000,4.4,0.10000,136.7,-4.40000,131.737,0.73600,138012,50.00000
1867,06/01/2007,108.00000,4.6,-0.10000,138,-0.10000,132.65,0.85000,138088,152.00000
