curr_stat,yqtr,CUR,PPY,SDQ,DEL
CUR,2016Q1,0.9695792274,0.0269423338,0.0000160521,0.0034623868
PPY,2016Q1,0,1,0,0
SDQ,2016Q1,0,0,1,0
CUR,2016Q2,0.9699576933,0.0265355928,0.0000200892,0.0034866247
DEL,2016Q2,0.5479929833,0.0350479385,0.0580385821,0.3589204961
PPY,2016Q2,0,1,0,0
SDQ,2016Q2,0,0,1,0
CUR,2016Q3,0.9672725203,0.0289174129,0.000024925,0.0037851419
DEL,2016Q3,0.5233320558,0.0350458705,0.0663017664,0.3753203073
PPY,2016Q3,0,1,0,0
SDQ,2016Q3,0,0,1,0
CUR,2016Q4,0.9700560308,0.0264582495,0.0000270822,0.0034586375
DEL,2016Q4,0.5107257338,0.0319645438,0.0720488398,0.3852608825
PPY,2016Q4,0,1,0,0
SDQ,2016Q4,0,0,1,0
CUR,2017Q1,0.968986987,0.0273531794,0.0000342195,0.0036256141
DEL,2017Q1,0.552370026,0.0370770338,0.0570940903,0.3534588499
PPY,2017Q1,0,1,0,0
SDQ,2017Q1,0,0,1,0
CUR,2017Q2,0.9683757524,0.0279049807,0.0000398115,0.0036794554
DEL,2017Q2,0.5363485374,0.0323027046,0.0627223055,0.3686264525
PPY,2017Q2,0,1,0,0
SDQ,2017Q2,0,0,1,0
CUR,2017Q3,0.9667181171,0.0293658738,0.0000524392,0.00386357
DEL,2017Q3,0.5195322862,0.0342562101,0.0638742227,0.382337281
PPY,2017Q3,0,1,0,0
SDQ,2017Q3,0,0,1,0
CUR,2017Q4,0.9671726615,0.0288249575,0.0000729688,0.0039294121
DEL,2017Q4,0.5388250759,0.0346617683,0.0507103471,0.3758028088
PPY,2017Q4,0,1,0,0
SDQ,2017Q4,0,0,1,0
CUR,2018Q1,0.9686597652,0.0274433232,0.0000902655,0.003806646
DEL,2018Q1,0.53921183,0.0358331649,0.0522093426,0.3727456625
PPY,2018Q1,0,1,0,0
SDQ,2018Q1,0,0,1,0
CUR,2018Q2,0.9651994002,0.030279057,0.0001449237,0.0043766191
DEL,2018Q2,0.5539286926,0.0381908213,0.0520196412,0.3558608449
PPY,2018Q2,0,1,0,0
SDQ,2018Q2,0,0,1,0
CUR,2018Q3,0.9649740834,0.0303404925,0.0001892355,0.0044961885
DEL,2018Q3,0.5510653679,0.0374673353,0.0468739777,0.364593319
PPY,2018Q3,0,1,0,0
SDQ,2018Q3,0,0,1,0
CUR,2018Q4,0.9611944848,0.0336215017,0.0002344445,0.004949569
DEL,2018Q4,0.5332102195,0.0384319439,0.0502798229,0.3780780137
PPY,2018Q4,0,1,0,0
SDQ,2018Q4,0,0,1,0
CUR,2019Q1,0.9616225551,0.0330998707,0.0002914014,0.0049861728
DEL,2019Q1,0.5606987845,0.0421365438,0.0410891048,0.356075567
PPY,2019Q1,0,1,0,0
SDQ,2019Q1,0,0,1,0
CUR,2019Q2,0.9624533387,0.0322894383,0.0003631544,0.0048940687
DEL,2019Q2,0.5322037826,0.0349091866,0.0451842059,0.3877028248
PPY,2019Q2,0,1,0,0
SDQ,2019Q2,0,0,1,0
CUR,2019Q3,0.9634764825,0.0313363084,0.0004339261,0.004753283
DEL,2019Q3,0.5171731616,0.0367012,0.049975624,0.3961500144
PPY,2019Q3,0,1,0,0
SDQ,2019Q3,0,0,1,0
CUR,2019Q4,0.9654145592,0.0297812416,0.000454414,0.0043497852
DEL,2019Q4,0.5393644002,0.035941289,0.0397310615,0.3849632493
PPY,2019Q4,0,1,0,0
SDQ,2019Q4,0,0,1,0
