curr_stat,yqtr,CUR,PPY,SDQ,DEL
CUR,2016Q1,0.9488060145,0.0308761771,0.0000608382,0.0202569702
PPY,2016Q1,0,1,0,0
SDQ,2016Q1,0,0,1,0
CUR,2016Q2,0.9492399509,0.0307720293,0.0000587709,0.019929249
DEL,2016Q2,0.4377213877,0.016702389,0.0791371202,0.466439103
PPY,2016Q2,0,1,0,0
SDQ,2016Q2,0,0,1,0
CUR,2016Q3,0.9433998778,0.0354349552,0.0001339686,0.0210311985
DEL,2016Q3,0.4323618729,0.0158301383,0.0792182462,0.4725897426
PPY,2016Q3,0,1,0,0
SDQ,2016Q3,0,0,1,0
CUR,2016Q4,0.9496089339,0.0308376149,0.0000585221,0.019494929
DEL,2016Q4,0.4504338603,0.0183711126,0.0701027189,0.4610923081
PPY,2016Q4,0,1,0,0
SDQ,2016Q4,0,0,1,0
CUR,2017Q1,0.947105407,0.0329861389,0.0001033049,0.0198051491
DEL,2017Q1,0.4634563199,0.0199333873,0.0597809649,0.4568293279
PPY,2017Q1,0,1,0,0
SDQ,2017Q1,0,0,1,0
CUR,2017Q2,0.9447924649,0.0349402648,0.0001104321,0.0201568383
DEL,2017Q2,0.4947278392,0.019511365,0.0510489119,0.4347118839
PPY,2017Q2,0,1,0,0
SDQ,2017Q2,0,0,1,0
CUR,2017Q3,0.9407181911,0.0384060171,0.000221909,0.0206538828
DEL,2017Q3,0.4599192921,0.017908738,0.0628525878,0.4593193821
PPY,2017Q3,0,1,0,0
SDQ,2017Q3,0,0,1,0
CUR,2017Q4,0.9419264768,0.0376515913,0.0001797098,0.0202422221
DEL,2017Q4,0.4729161126,0.0200639794,0.05142729,0.455592618
PPY,2017Q4,0,1,0,0
SDQ,2017Q4,0,0,1,0
CUR,2018Q1,0.9456342529,0.035104288,0.0001225182,0.0191389409
DEL,2018Q1,0.4336470122,0.020753374,0.0559563873,0.4896432265
PPY,2018Q1,0,1,0,0
SDQ,2018Q1,0,0,1,0
CUR,2018Q2,0.9368262143,0.041961808,0.0004224296,0.0207895481
DEL,2018Q2,0.453387831,0.0222505005,0.0468129986,0.4775486699
PPY,2018Q2,0,1,0,0
SDQ,2018Q2,0,0,1,0
CUR,2018Q3,0.9356978843,0.0429199191,0.000453834,0.0209283627
PPY,2018Q3,0,1,0,0
SDQ,2018Q3,0,0,1,0
CUR,2018Q4,0.9252363961,0.0510483133,0.0011799914,0.0225352993
DEL,2018Q4,0.4570994715,0.0197653627,0.0598998769,0.4632352889
PPY,2018Q4,0,1,0,0
SDQ,2018Q4,0,0,1,0
CUR,2019Q1,0.9257834561,0.0508189214,0.0011527308,0.0222448917
DEL,2019Q1,0.443505164,0.02122191,0.0481027834,0.4871701426
PPY,2019Q1,0,1,0,0
SDQ,2019Q1,0,0,1,0
CUR,2019Q2,0.9285882682,0.0488173344,0.0011577132,0.0214366842
DEL,2019Q2,0.424782676,0.0238006408,0.0422497803,0.5091669029
PPY,2019Q2,0,1,0,0
SDQ,2019Q2,0,0,1,0
CUR,2019Q3,0.9314620438,0.046778271,0.0011086084,0.0206510768
DEL,2019Q3,0.4139120066,0.0217163433,0.0473327581,0.5170388921
PPY,2019Q3,0,1,0,0
SDQ,2019Q3,0,0,1,0
CUR,2019Q4,0.9325999497,0.0460606421,0.0005351935,0.0208042146
PPY,2019Q4,0,1,0,0
SDQ,2019Q4,0,0,1,0
