curr_stat,yqtr,CUR,PPY,SDQ,DEL
CUR,2006Q3,0.9840471531,0.0088576511,0.0011786535,0.0059165422
DEL,2006Q3,0.4092160479,0.0534466271,0.0728191557,0.4645181692
PPY,2006Q3,0,1,0,0
SDQ,2006Q3,0,0,1,0
CUR,2006Q4,0.9782645714,0.0140308491,0.0019140665,0.005790513
DEL,2006Q4,0.3058229771,0.0328267867,0.0765680529,0.5847821832
PPY,2006Q4,0,1,0,0
SDQ,2006Q4,0,0,1,0
CUR,2007Q1,0.9761197853,0.0163999748,0.0006051192,0.0068751207
DEL,2007Q1,0.3225111747,0.0353080582,0.0876674907,0.5545132765
PPY,2007Q1,0,1,0,0
SDQ,2007Q1,0,0,1,0
CUR,2007Q2,0.9772286678,0.0161692968,0.0003888085,0.0062132269
DEL,2007Q2,0.3034415158,0.0315753922,0.0885854879,0.5763976041
PPY,2007Q2,0,1,0,0
SDQ,2007Q2,0,0,1,0
CUR,2007Q3,0.9787100184,0.0155464983,0.0001085155,0.0056349678
DEL,2007Q3,0.3328729767,0.0371689146,0.0952418383,0.5347162704
PPY,2007Q3,0,1,0,0
SDQ,2007Q3,0,0,1,0
CUR,2007Q4,0.9715972308,0.0220023327,0.0000467714,0.0063536651
DEL,2007Q4,0.3516080165,0.0367698715,0.1127734524,0.4988486597
PPY,2007Q4,0,1,0,0
SDQ,2007Q4,0,0,1,0
CUR,2008Q1,0.9537518734,0.0381835562,7.365141E-7,0.0080638339
DEL,2008Q1,0.3673376745,0.0417479207,0.1008516025,0.4900628022
PPY,2008Q1,0,1,0,0
SDQ,2008Q1,0,0,1,0
CUR,2008Q2,0.9637062931,0.0288978966,0.0000140757,0.0073817346
DEL,2008Q2,0.3843319557,0.0435595246,0.1216970452,0.4504114745
PPY,2008Q2,0,1,0,0
SDQ,2008Q2,0,0,1,0
CUR,2008Q3,0.9646168528,0.0288648837,1.8010702E-7,0.0065180834
DEL,2008Q3,0.3333748361,0.0379881562,0.1443658223,0.4842711853
PPY,2008Q3,0,1,0,0
SDQ,2008Q3,0,0,1,0
CUR,2008Q4,0.9391514162,0.0526905833,6.765982E-10,0.0081579998
DEL,2008Q4,0.3515250583,0.0434983649,0.1726489996,0.4323275771
PPY,2008Q4,0,1,0,0
SDQ,2008Q4,0,0,1,0
CUR,2009Q1,0.8915362845,0.0981187726,3.7227522E-9,0.0103449392
DEL,2009Q1,0.3407874632,0.0482426963,0.2073613682,0.4036084723
PPY,2009Q1,0,1,0,0
SDQ,2009Q1,0,0,1,0
CUR,2009Q2,0.8991503461,0.0916974623,4.2279759E-8,0.0091521493
DEL,2009Q2,0.356436699,0.0445411369,0.1848990404,0.4141231236
PPY,2009Q2,0,1,0,0
SDQ,2009Q2,0,0,1,0
CUR,2009Q3,0.9314110566,0.0623581546,1.7236035E-7,0.0062306164
DEL,2009Q3,0.4273417871,0.0430494569,0.1331122697,0.3964964864
PPY,2009Q3,0,1,0,0
SDQ,2009Q3,0,0,1,0
CUR,2009Q4,0.9383740001,0.0569516422,9.9752131E-7,0.0046733602
