curr_stat,yqtr,CUR,PPY,SDQ,DEL
CUR,2006Q3,0.9516849441,0.0220499015,0.0000527234,0.026212431
PPY,2006Q3,0,1,0,0
SDQ,2006Q3,0,0,1,0
CUR,2006Q4,0.9429018327,0.0313232149,0.0000291633,0.025745789
DEL,2006Q4,0.3303948021,0.0238256173,0.0492795912,0.5964999894
PPY,2006Q4,0,1,0,0
SDQ,2006Q4,0,0,1,0
CUR,2007Q1,0.9423540707,0.030304203,0.0000415524,0.0273001739
DEL,2007Q1,0.3537979107,0.0164629602,0.0578442674,0.5718948617
PPY,2007Q1,0,1,0,0
SDQ,2007Q1,0,0,1,0
CUR,2007Q2,0.9431427228,0.0304425792,0.0000372939,0.0263774042
DEL,2007Q2,0.3781966809,0.0199112641,0.0596344429,0.5422576121
PPY,2007Q2,0,1,0,0
SDQ,2007Q2,0,0,1,0
CUR,2007Q3,0.9460188259,0.027664748,0.0000363459,0.0262800803
DEL,2007Q3,0.3343831518,0.0158528154,0.0800647238,0.5696993089
PPY,2007Q3,0,1,0,0
SDQ,2007Q3,0,0,1,0
CUR,2007Q4,0.9394897521,0.0314729388,0.0000359701,0.0290013389
DEL,2007Q4,0.3622519529,0.0166174568,0.0848507299,0.5362798603
PPY,2007Q4,0,1,0,0
SDQ,2007Q4,0,0,1,0
CUR,2008Q1,0.9316325777,0.0309295983,0.0001004119,0.0373374121
DEL,2008Q1,0.3321514974,0.0083021911,0.1010653276,0.5584809839
PPY,2008Q1,0,1,0,0
SDQ,2008Q1,0,0,1,0
CUR,2008Q2,0.9319396271,0.0347428991,0.0000556455,0.0332618283
DEL,2008Q2,0.3606366096,0.0172389219,0.0732467159,0.5488777525
PPY,2008Q2,0,1,0,0
SDQ,2008Q2,0,0,1,0
CUR,2008Q3,0.9408629502,0.0249127944,0.0000749718,0.0341492836
DEL,2008Q3,0.3304977506,0.0088319531,0.0944217044,0.566248592
PPY,2008Q3,0,1,0,0
SDQ,2008Q3,0,0,1,0
CUR,2008Q4,0.9346966198,0.0222460473,0.0002232074,0.0428341254
DEL,2008Q4,0.2806516329,0.0031378891,0.1224864318,0.5937240462
PPY,2008Q4,0,1,0,0
SDQ,2008Q4,0,0,1,0
CUR,2009Q1,0.9133204716,0.0378092029,0.0002537783,0.0486165472
DEL,2009Q1,0.3051501098,0.0055661113,0.1198888856,0.5693948934
PPY,2009Q1,0,1,0,0
SDQ,2009Q1,0,0,1,0
CUR,2009Q2,0.9091383219,0.0463734762,0.0001693023,0.0443188996
DEL,2009Q2,0.3294141604,0.0100986425,0.1073943821,0.5530928149
PPY,2009Q2,0,1,0,0
SDQ,2009Q2,0,0,1,0
CUR,2009Q3,0.915081005,0.0456994022,0.0001214031,0.0390981897
DEL,2009Q3,0.3457559768,0.01479355,0.0890952299,0.5503552433
PPY,2009Q3,0,1,0,0
SDQ,2009Q3,0,0,1,0
CUR,2009Q4,0.9073264376,0.0562666149,0.0000914957,0.0363154518
DEL,2009Q4,0.3652272436,0.0230165858,0.0782330911,0.5335230795
PPY,2009Q4,0,1,0,0
SDQ,2009Q4,0,0,1,0
CUR,2010Q1,0.9167106936,0.046280591,0.0001175651,0.0368911503
DEL,2010Q1,0.3471853984,0.0148491915,0.0852223657,0.5527430444
PPY,2010Q1,0,1,0,0
SDQ,2010Q1,0,0,1,0
CUR,2010Q2,0.915897024,0.05023755,0.0001002131,0.0337652129
DEL,2010Q2,0.3515308811,0.0198966561,0.0815315583,0.5470409044
PPY,2010Q2,0,1,0,0
SDQ,2010Q2,0,0,1,0
CUR,2010Q3,0.9037054865,0.0582637089,0.0001354481,0.0378953565
DEL,2010Q3,0.3504517953,0.0180542517,0.08456885,0.546925103
PPY,2010Q3,0,1,0,0
SDQ,2010Q3,0,0,1,0
CUR,2010Q4,0.9074482567,0.0548162257,0.0001429908,0.0375925268
DEL,2010Q4,0.3510509181,0.015941866,0.0901985104,0.5428087054
PPY,2010Q4,0,1,0,0
SDQ,2010Q4,0,0,1,0
CUR,2011Q1,0.9238473653,0.0393965173,0.0001308406,0.0366252768
DEL,2011Q1,0.3186903812,0.0100127586,0.0959647523,0.5753321079
PPY,2011Q1,0,1,0,0
SDQ,2011Q1,0,0,1,0
CUR,2011Q2,0.9157121522,0.0498733155,0.00010177,0.0343127623
DEL,2011Q2,0.3570108949,0.0190207995,0.0766626527,0.547305653
PPY,2011Q2,0,1,0,0
SDQ,2011Q2,0,0,1,0
CUR,2011Q3,0.9119647257,0.0495510591,0.0001595969,0.0383246182
DEL,2011Q3,0.3287142446,0.0113925776,0.0922680745,0.5676251033
PPY,2011Q3,0,1,0,0
SDQ,2011Q3,0,0,1,0
CUR,2011Q4,0.897401218,0.0671292494,0.0001138362,0.0353556963
DEL,2011Q4,0.3673664206,0.0256105654,0.0691548961,0.5378681179
PPY,2011Q4,0,1,0,0
SDQ,2011Q4,0,0,1,0
CUR,2012Q1,0.9001446823,0.0634590507,0.0001295789,0.0362666881
DEL,2012Q1,0.3701571308,0.020354289,0.0709708957,0.5385176845
PPY,2012Q1,0,1,0,0
SDQ,2012Q1,0,0,1,0
CUR,2012Q2,0.904761492,0.060098359,0.0001719526,0.0349681964
DEL,2012Q2,0.3593363327,0.0173567152,0.0666133215,0.5566936306
PPY,2012Q2,0,1,0,0
SDQ,2012Q2,0,0,1,0
CUR,2012Q3,0.9063337016,0.0592030981,0.0002167295,0.0342464708
DEL,2012Q3,0.3606296696,0.0147200753,0.0731779796,0.5514722754
PPY,2012Q3,0,1,0,0
SDQ,2012Q3,0,0,1,0
CUR,2012Q4,0.9054192363,0.061454444,0.0002381054,0.0328882143
DEL,2012Q4,0.3888791535,0.016456791,0.0651609505,0.5295031049
PPY,2012Q4,0,1,0,0
SDQ,2012Q4,0,0,1,0
CUR,2013Q1,0.907863392,0.0640499256,0.0001569971,0.0279296853
DEL,2013Q1,0.396743894,0.026910128,0.0475940007,0.5287519773
PPY,2013Q1,0,1,0,0
SDQ,2013Q1,0,0,1,0
CUR,2013Q2,0.9232812814,0.0497336596,0.0001750899,0.0268099691
DEL,2013Q2,0.3886496114,0.0162936403,0.0644879951,0.5305687531
PPY,2013Q2,0,1,0,0
SDQ,2013Q2,0,0,1,0
CUR,2013Q3,0.9386901014,0.0400365122,0.000081951,0.0211914353
DEL,2013Q3,0.4168958646,0.0268681968,0.0477515161,0.5084844225
PPY,2013Q3,0,1,0,0
SDQ,2013Q3,0,0,1,0
CUR,2013Q4,0.9380566116,0.0411425395,0.0000793161,0.0207215328
DEL,2013Q4,0.4175482811,0.0275131844,0.0481503652,0.5067881693
PPY,2013Q4,0,1,0,0
SDQ,2013Q4,0,0,1,0
CUR,2014Q1,0.9463546615,0.0319255244,0.0001172232,0.021602591
DEL,2014Q1,0.3713853245,0.0126979095,0.0703066206,0.5456101453
PPY,2014Q1,0,1,0,0
SDQ,2014Q1,0,0,1,0
CUR,2014Q2,0.9350269885,0.0456983826,0.0000681192,0.0192065097
DEL,2014Q2,0.4153753557,0.035382907,0.0467476346,0.5024941027
PPY,2014Q2,0,1,0,0
SDQ,2014Q2,0,0,1,0
CUR,2014Q3,0.9354674365,0.0457969157,0.000072044,0.0186636039
DEL,2014Q3,0.423052155,0.0332948939,0.048649513,0.4950034381
PPY,2014Q3,0,1,0,0
SDQ,2014Q3,0,0,1,0
CUR,2014Q4,0.9359747888,0.0434836932,0.0001022137,0.0204393043
DEL,2014Q4,0.4179349995,0.0233062684,0.0514410417,0.5073176905
PPY,2014Q4,0,1,0,0
SDQ,2014Q4,0,0,1,0
CUR,2015Q1,0.9296568786,0.0495200407,0.0001062572,0.0207168235
DEL,2015Q1,0.4000251989,0.024780333,0.051939073,0.5232553952
PPY,2015Q1,0,1,0,0
SDQ,2015Q1,0,0,1,0
CUR,2015Q2,0.9330023644,0.0468072291,0.0000896639,0.0201007426
DEL,2015Q2,0.4200728353,0.026590239,0.0454509164,0.5078860093
PPY,2015Q2,0,1,0,0
SDQ,2015Q2,0,0,1,0
CUR,2015Q3,0.9390577024,0.0404889662,0.0000918437,0.0203614877
DEL,2015Q3,0.4296936219,0.0210158202,0.0548771656,0.4944133922
PPY,2015Q3,0,1,0,0
SDQ,2015Q3,0,0,1,0
CUR,2015Q4,0.9410294659,0.0385156518,0.0001097991,0.0203450832
DEL,2015Q4,0.4213327334,0.01702067,0.0561990394,0.5054475572
PPY,2015Q4,0,1,0,0
SDQ,2015Q4,0,0,1,0
CUR,2016Q1,0.9343828095,0.0449290245,0.0000980952,0.0205900708
DEL,2016Q1,0.4600573861,0.0277177167,0.0373149129,0.4749099843
PPY,2016Q1,0,1,0,0
SDQ,2016Q1,0,0,1,0
CUR,2016Q2,0.932254883,0.0469444521,0.0001158521,0.0206848129
DEL,2016Q2,0.4326889361,0.0237430069,0.049361386,0.494206671
PPY,2016Q2,0,1,0,0
SDQ,2016Q2,0,0,1,0
CUR,2016Q3,0.9286392501,0.0504399157,0.0001252904,0.0207955438
DEL,2016Q3,0.4382156817,0.0252086408,0.0452854962,0.4912901813
PPY,2016Q3,0,1,0,0
SDQ,2016Q3,0,0,1,0
CUR,2016Q4,0.9383598858,0.0424727977,0.000100435,0.0190668815
DEL,2016Q4,0.4226033274,0.0237210466,0.0428376765,0.5108379496
PPY,2016Q4,0,1,0,0
SDQ,2016Q4,0,0,1,0
CUR,2017Q1,0.9451457173,0.0374719774,0.0000745364,0.017307769
DEL,2017Q1,0.4623775329,0.0268840731,0.0407787534,0.4699596406
PPY,2017Q1,0,1,0,0
SDQ,2017Q1,0,0,1,0
CUR,2017Q2,0.9422521414,0.0400748568,0.0000883868,0.017584615
DEL,2017Q2,0.4563296628,0.0265279996,0.0395488922,0.4775934453
PPY,2017Q2,0,1,0,0
SDQ,2017Q2,0,0,1,0
CUR,2017Q3,0.9394227397,0.0435689392,0.0000861823,0.0169221387
DEL,2017Q3,0.4584451506,0.0324902442,0.0333185243,0.4757460809
PPY,2017Q3,0,1,0,0
SDQ,2017Q3,0,0,1,0
CUR,2017Q4,0.9397883738,0.043677688,0.0000804718,0.0164534664
DEL,2017Q4,0.4716393481,0.0353209803,0.0308910305,0.462148641
PPY,2017Q4,0,1,0,0
SDQ,2017Q4,0,0,1,0
CUR,2018Q1,0.9485829539,0.0359030196,0.0000700365,0.0154439901
DEL,2018Q1,0.4722149021,0.0321937934,0.029042574,0.4665487306
PPY,2018Q1,0,1,0,0
SDQ,2018Q1,0,0,1,0
CUR,2018Q2,0.9520379582,0.0336368108,0.0000544911,0.0142707399
DEL,2018Q2,0.4676058286,0.0345653517,0.0331252349,0.4647035848
PPY,2018Q2,0,1,0,0
SDQ,2018Q2,0,0,1,0
CUR,2018Q3,0.9535953824,0.032396338,0.0000592279,0.0139490517
DEL,2018Q3,0.4718398191,0.0323717753,0.0340415685,0.4617468371
PPY,2018Q3,0,1,0,0
SDQ,2018Q3,0,0,1,0
CUR,2018Q4,0.9590945407,0.0271207208,0.000063231,0.0137215075
DEL,2018Q4,0.4789835535,0.0267906869,0.033220176,0.4610055836
PPY,2018Q4,0,1,0,0
SDQ,2018Q4,0,0,1,0
CUR,2019Q1,0.9506343701,0.0352334853,0.000070099,0.0140620456
DEL,2019Q1,0.464281944,0.031082267,0.038951703,0.465684086
PPY,2019Q1,0,1,0,0
SDQ,2019Q1,0,0,1,0
CUR,2019Q2,0.9458043157,0.0390296909,0.0000946301,0.0150713633
DEL,2019Q2,0.4498029432,0.0249141815,0.0461875054,0.4790953699
PPY,2019Q2,0,1,0,0
SDQ,2019Q2,0,0,1,0
CUR,2019Q3,0.9386307075,0.0452449798,0.0001178482,0.0160064645
DEL,2019Q3,0.4461755481,0.0246970661,0.0466809696,0.4824464163
PPY,2019Q3,0,1,0,0
SDQ,2019Q3,0,0,1,0
CUR,2019Q4,0.9411836407,0.0439499598,0.0000966199,0.0147697797
DEL,2019Q4,0.439181544,0.0404538946,0.0121303585,0.5082342029
PPY,2019Q4,0,1,0,0
SDQ,2019Q4,0,0,1,0
