Dti,Cscore_b,Curr_rte,Act_upb,Next_stat,UMP,yqtr,QGT_UMP,QDT_UMP,AG_UMP,lagging_UMP,QGT_GDP,QRT_GDP,AG_GDP,GDP_Annual_Rate,Ggr,CLTV,HS,PPI,Permits,Orig_chn,Orig_rt,Orig_trm,Num_bo
41,789,4.5,105986.13,DEL,5.3,2015Q2,-0.01824,-0.10000,-12.37%,-0.166666667,0.00739,1.00741,3.35%,3.00%,0.0073590392,54.564785716,"1,158.00",193.03,"1,271.33",C,4.5,360,1
41,789,4.5,105367.28,DEL,5,2015Q3,-0.06331,-0.33333,-15.93%,-0.1,0.00330,1.00331,2.44%,1.33%,0.003295669,53.503542444,"1,166.67",191.63,"1,149.00",C,4.5,360,1
41,789,4.5,104950.84,DEL,5,2015Q4,-0.01316,-0.06667,-11.70%,-0.333333333,0.00033,1.00033,1.90%,0.13%,0.0003251492,52.461911086,"1,125.33",185.57,"1,204.00",C,4.5,360,1
47,696,6.375,87610.83,CUR,9.4,2010Q4,0.00351,0.03333,-4.36%,-0.166666667,0.00501,1.00502,2.57%,2.02%,0.0049939606,71.454508435,542.33,188.00,583.33,C,6.375,360,1
47,696,6.375,87031.41,CUR,9.1,2011Q2,0.00368,0.03333,-5.88%,-0.466666667,0.00712,1.00715,1.72%,2.89%,0.0070989775,72.259559485,574.33,203.70,611.67,C,6.375,360,1
24,730,5.25,120430.49,CUR,8.6,2011Q4,-0.04159,-0.36667,-9.12%,-0.066666667,0.01153,1.01159,1.61%,4.72%,0.0114599959,81.015485428,671.67,200.77,691.33,R,5.25,360,2
24,730,5.25,111242.88,CUR,4.9,2016Q1,-0.02007,-0.10000,-10.84%,-0.066666667,0.00502,1.00503,1.62%,2.03%,0.0050087034,57.750796867,"1,140.00",182.00,"1,157.33",R,5.25,360,2
24,730,5.25,108774.31,DEL,4.6,2017Q1,-0.04286,-0.20000,-7.43%,-0.133333333,0.00565,1.00567,2.10%,2.29%,0.0056359028,53.538624275,"1,224.67",191.27,"1,281.33",R,5.25,360,2
24,730,5.25,108136.69,CUR,4.4,2017Q2,-0.04478,-0.20000,-10.88%,-0.2,0.00533,1.00534,2.16%,2.15%,0.0053155621,52.57768262,"1,172.00",193.13,"1,263.33",R,5.25,360,2
18,681,4.75,192150.13,CUR,9.6,2010Q2,-0.02055,-0.20000,3.58%,-0.1,0.00918,1.00922,2.80%,3.74%,0.0091360461,79.211346362,602.00,184.23,599.67,R,4.75,180,1
32,718,5,125395.88,CUR,4.9,2016Q1,-0.02007,-0.10000,-10.84%,-0.066666667,0.00502,1.00503,1.62%,2.03%,0.0050087034,52.933550831,"1,140.00",182.00,"1,157.33",B,5,360,2
32,718,5,123958.21,DEL,4.9,2016Q3,0.00000,0.00000,-3.92%,-0.033333333,0.00541,1.00542,1.56%,2.19%,0.0053936623,51.128693655,"1,157.33",187.07,"1,226.00",B,5,360,2
32,718,5,123225.81,DEL,4.7,2016Q4,-0.02759,-0.13333,-5.30%,0,0.00501,1.00503,2.03%,2.03%,0.005002011,50.019984005,"1,246.00",187.07,"1,252.67",B,5,360,2
32,718,5,122484.23,DEL,4.6,2017Q1,-0.04286,-0.20000,-7.43%,-0.133333333,0.00565,1.00567,2.10%,2.29%,0.0056359028,49.021099704,"1,224.67",191.27,"1,281.33",B,5,360,2
32,718,5,121733.33,DEL,4.4,2017Q2,-0.04478,-0.20000,-10.88%,-0.2,0.00533,1.00534,2.16%,2.15%,0.0053155621,48.128228205,"1,172.00",193.13,"1,263.33",B,5,360,2
32,718,5,120973,DEL,4.4,2017Q3,-0.01538,-0.06667,-12.24%,-0.2,0.00788,1.00791,2.42%,3.20%,0.0078459297,47.092518679,"1,181.33",194.03,"1,277.00",B,5,360,2
32,718,5,120203.13,DEL,4.2,2017Q4,-0.03953,-0.16667,-13.29%,-0.066666667,0.00871,1.00875,2.80%,3.55%,0.0086727418,46.011613282,"1,251.67",195.70,"1,316.67",B,5,360,2
32,718,5,119423.61,DEL,4.1,2018Q1,-0.01626,-0.06667,-10.95%,-0.166666667,0.00630,1.00632,2.86%,2.55%,0.0062798788,44.935962674,"1,312.33",198.83,"1,370.67",B,5,360,2
32,718,5,118634.3,SDQ,3.8,2018Q2,-0.03334,-0.13333,-9.92%,-0.066666667,0.00863,1.00867,3.20%,3.51%,0.0085966147,44.124414368,"1,264.33",202.57,"1,344.67",B,5,360,2
48,742,4,149094.32,CUR,3.8,2019Q1,0.01739,0.06667,-4.92%,0.0333333333,0.00762,1.00765,2.65%,3.10%,0.0075939592,53.676380543,"1,204.00",199.70,"1,316.00",R,4,360,1
