Dti,Cscore_b,Curr_rte,Act_upb,Next_stat,UMP,yqtr,QGT_UMP,QDT_UMP,AG_UMP,lagging_UMP,QGT_GDP,QRT_GDP,AG_GDP,GDP_Annual_Rate,Ggr,CLTV,HS,PPI,Permits,Orig_chn,Orig_rt,Orig_trm,Num_bo
35,643,7.5,64681.54,CUR,8.2,2012Q2,-0.00810,-0.06667,-9.56%,-0.366666667,0.00429,1.00430,2.36%,1.73%,0.0042835871,104.88111242,739.33,201.80,774.00,B,7.5,240,1
35,643,7.5,63506.19,CUR,7.9,2012Q4,-0.02948,-0.23333,-9.65%,-0.166666667,0.00114,1.00114,1.47%,0.46%,0.0011374372,99.804787138,908.00,202.27,915.00,B,7.5,240,1
35,643,7.5,59858.64,CUR,6.7,2014Q1,-0.03922,-0.26667,-13.79%,-0.3,-0.00283,0.99717,1.43%,-1.13%,-0.002835067,83.920511315,934.00,205.50,"1,027.33",B,7.5,240,1
35,643,7.5,50873.1,CUR,4.4,2017Q1,-0.04286,-0.20000,-7.43%,-0.133333333,0.00565,1.00567,2.10%,2.29%,0.0056359028,61.824316928,"1,224.67",191.27,"1,281.33",B,7.5,240,1
39,652,4.5,388661.64,CUR,7.5,2013Q2,-0.02620,-0.20000,-8.13%,-0.066666667,0.00123,1.00123,1.26%,0.49%,0.001232444,50.002759002,868.00,203.97,985.67,R,4.5,360,2
39,652,4.5,385111.85,DEL,6.9,2013Q4,-0.04236,-0.30000,-11.11%,-0.3,0.00795,1.00798,2.61%,3.23%,0.0079192739,47.314963349,"1,009.00",201.90,"1,026.00",R,4.5,360,2
39,652,4.5,383306.84,CUR,6.7,2014Q1,-0.03922,-0.26667,-13.79%,-0.3,-0.00283,0.99717,1.43%,-1.13%,-0.002835067,46.376408668,934.00,205.50,"1,027.33",R,4.5,360,2
39,652,4.5,377768.59,DEL,5.8,2014Q4,-0.06234,-0.36667,-17.79%,-0.133333333,0.00561,1.00563,2.88%,2.27%,0.005596441,44.393712298,"1,049.33",200.43,"1,074.33",R,4.5,360,2
39,652,4.5,376512.32,CUR,5.5,2015Q1,-0.02968,-0.16667,-17.00%,-0.366666667,0.00782,1.00785,3.98%,3.18%,0.0077870859,43.766694568,977.00,191.53,"1,084.33",R,4.5,360,2
39,652,4.5,370087.95,CUR,5.1,2015Q4,-0.01316,-0.06667,-11.70%,-0.333333333,0.00033,1.00033,1.90%,0.13%,0.0003251492,41.405596076,"1,125.33",185.57,"1,204.00",R,4.5,360,2
39,652,4.5,362054.48,DEL,4.7,2016Q4,-0.02759,-0.13333,-5.30%,0,0.00501,1.00503,2.03%,2.03%,0.005002011,38.526113825,"1,246.00",187.07,"1,252.67",R,4.5,360,2
39,652,4.5,359989.09,CUR,4.6,2017Q1,-0.04286,-0.20000,-7.43%,-0.133333333,0.00565,1.00567,2.10%,2.29%,0.0056359028,37.768664037,"1,224.67",191.27,"1,281.33",R,4.5,360,2
39,652,4.5,351491.7,CUR,4.1,2018Q1,-0.01626,-0.06667,-10.95%,-0.166666667,0.00630,1.00632,2.86%,2.55%,0.0062798788,34.670359103,"1,312.33",198.83,"1,370.67",R,4.5,360,2
39,652,4.5,342603.91,CUR,3.8,2019Q1,0.01739,0.06667,-4.92%,0.0333333333,0.00762,1.00765,2.65%,3.10%,0.0075939592,32.547147964,"1,204.00",199.70,"1,316.00",R,4.5,360,2
39,626,5.625,233498.46,CUR,9.1,2011Q1,-0.05037,-0.46667,-8.14%,0.0333333333,-0.00241,0.99760,1.93%,-0.96%,-0.002410208,44.010582505,582.33,195.90,567.00,R,5.625,360,2
39,626,5.625,229776.77,CUR,8.3,2012Q1,-0.04340,-0.36667,-8.49%,-0.366666667,0.00780,1.00783,2.65%,3.17%,0.0077690962,44.869265831,707.33,202.17,752.00,R,5.625,360,2
60,639,6.375,158637.59,DEL,9.8,2009Q3,0.03521,0.33333,60.56%,1.0333333333,0.00363,1.00364,-3.05%,1.46%,0.0036279014,46.663269872,588.33,173.87,606.67,C,6.375,360,1
60,639,6.375,158325.91,DEL,9.9,2009Q4,0.03067,0.30000,44.66%,0.3333333333,0.01092,1.01098,0.18%,4.47%,0.010864507,46.59992216,567.67,176.90,623.33,C,6.375,360,1
60,639,6.375,157692.55,DEL,9.9,2010Q1,-0.01012,-0.10000,18.95%,0.3,0.00384,1.00385,1.71%,1.55%,0.0038330486,47.074751248,618.00,182.07,657.67,C,6.375,360,1
40,621,6.625,200799.02,SDQ,5.4,2008Q2,0.06454,0.33333,18.52%,0.2,0.00515,1.00516,1.09%,2.08%,0.0051373424,86.559417263,"1,010.67",196.00,"1,061.00",B,6.625,360,1
52,629,6.5,84362.39,DEL,9.4,2009Q2,0.11778,1.03333,74.38%,1.4,-0.00144,0.99856,-3.92%,-0.57%,-0.001441974,83.273009287,534.33,171.33,559.33,C,6.5,360,1
52,629,6.5,84101.12,SDQ,9.6,2009Q3,0.03521,0.33333,60.56%,1.0333333333,0.00363,1.00364,-3.05%,1.46%,0.0036279014,82.692630814,588.33,173.87,606.67,C,6.5,360,1
36,661,6.375,173388.05,CUR,9,2011Q1,-0.05037,-0.46667,-8.14%,0.0333333333,-0.00241,0.99760,1.93%,-0.96%,-0.002410208,98.592398146,582.33,195.90,567.00,C,6.375,360,1
32,656,4.375,76799.47,DEL,4.1,2018Q1,-0.01626,-0.06667,-10.95%,-0.166666667,0.00630,1.00632,2.86%,2.55%,0.0062798788,32.323550305,"1,312.33",198.83,"1,370.67",C,4.375,360,1
32,656,4.375,76439.87,CUR,3.8,2018Q2,-0.03334,-0.13333,-9.92%,-0.066666667,0.00863,1.00867,3.20%,3.51%,0.0085966147,31.801353195,"1,264.33",202.57,"1,344.67",C,4.375,360,1
46,665,6.25,214615.16,CUR,5.4,2008Q2,0.06454,0.33333,18.52%,0.2,0.00515,1.00516,1.09%,2.08%,0.0051373424,95.231251233,"1,010.67",196.00,"1,061.00",C,6.25,360,2
